Date,Open,High,Low,Close,Adj Close,Volume
2016-02-17,114.134003,114.495003,113.389000,114.080002,114.080002,0
2016-02-18,114.291000,114.291000,113.620003,114.279999,114.279999,0
2016-02-19,113.271004,113.272003,112.731003,113.250000,113.250000,0
2016-02-22,112.526001,113.364998,112.526001,112.488998,112.488998,0
2016-02-23,112.953003,112.971001,111.789001,112.971001,112.971001,0
2016-02-24,111.911003,112.220001,111.112000,111.879997,111.879997,0
2016-02-25,112.065002,112.920998,111.986000,112.100998,112.100998,0
2016-02-26,113.138000,113.930000,112.559998,113.117996,113.117996,0
2016-02-29,113.719002,113.842003,112.695999,113.660004,113.660004,0
2016-03-01,112.420998,113.800003,112.172997,112.430000,112.430000,0
2016-03-02,113.919998,114.541000,113.736000,113.930000,113.930000,0
2016-03-03,113.490997,114.260002,113.459999,113.466003,113.466003,0
2016-03-04,113.680000,114.160004,113.144997,113.669998,113.669998,0
2016-03-07,113.820000,113.820000,113.405998,113.803001,113.803001,0
2016-03-08,113.482002,113.482002,112.464996,113.452003,113.452003,0
2016-03-09,112.680000,113.142998,112.239998,112.660004,112.660004,0
2016-03-10,113.220001,114.431999,113.160004,113.252998,113.252998,0
2016-03-11,112.838997,113.911003,112.830002,112.860001,112.860001,0
2016-03-14,113.763000,113.995003,113.514000,113.778000,113.778000,0
2016-03-15,113.827003,113.927002,112.669998,113.830002,113.830002,0
2016-03-16,113.100998,113.808998,113.021004,113.105003,113.105003,0
2016-03-17,112.793999,112.933998,110.690002,112.751999,112.751999,0
2016-03-18,111.384003,111.603996,110.823997,111.349998,111.349998,0
2016-03-21,111.440002,111.849998,111.230003,111.445000,111.445000,0
2016-03-22,112.143997,112.185997,111.412003,112.139000,112.139000,0
2016-03-23,112.261002,112.887001,112.147003,112.251999,112.251999,0
2016-03-24,112.424004,112.984001,112.300003,112.400002,112.400002,0
2016-03-25,112.830002,113.292000,112.809998,112.830002,112.830002,0
2016-03-28,113.471001,113.680000,113.154999,113.449997,113.449997,0
2016-03-29,113.364998,113.783997,113.234001,113.363998,113.363998,0
2016-03-30,112.647003,112.695000,112.031998,112.680000,112.680000,0
2016-03-31,112.345001,112.639000,112.110001,112.365997,112.365997,0
2016-04-01,112.480003,112.480003,111.862999,112.480003,112.480003,0
2016-04-04,111.705002,111.733002,111.135002,111.722000,111.722000,0
2016-04-05,111.244003,111.244003,110.042999,111.250000,111.250000,0
2016-04-06,110.369003,110.628998,109.634003,110.377998,110.377998,0
2016-04-07,109.733002,109.774002,107.760002,109.698997,109.698997,0
2016-04-08,108.515999,109.089996,108.221001,108.427002,108.427002,0
2016-04-11,108.311996,108.419998,107.664001,108.310997,108.310997,0
2016-04-12,107.949997,108.660004,107.903999,107.930000,107.930000,0
2016-04-13,108.670998,109.380997,108.540001,108.639999,108.639999,0
2016-04-14,109.414001,109.532997,108.901001,109.419998,109.419998,0
2016-04-15,109.327003,109.730003,108.615997,109.316002,109.316002,0
2016-04-18,108.102997,108.942001,107.869003,108.016998,108.016998,0
2016-04-19,109.059998,109.470001,108.796997,109.072998,109.072998,0
2016-04-20,109.181000,109.510002,108.769997,109.239998,109.239998,0
2016-04-21,109.830002,109.833000,109.339996,109.837997,109.837997,0
2016-04-22,109.481003,111.529999,109.279999,109.436996,109.436996,0
2016-04-25,111.453003,111.453003,110.853996,111.435997,111.435997,0
2016-04-26,111.108002,111.306000,110.674004,111.136002,111.136002,0
2016-04-27,111.234001,111.386002,111.027000,111.230003,111.230003,0
2016-04-28,111.515999,111.852997,107.949997,111.519997,111.519997,0
2016-04-29,108.089996,108.089996,106.708000,108.075996,108.075996,0
2016-05-02,106.464996,106.788002,106.195999,106.453003,106.453003,0
